    ANO;MES;R.GLOBAL;  INSOLACAO;PRECIPITACAO;UMIDADE.RELATIVA;  VENTO.MAXIMO; VENTO.MEDIO; TEMPER.MAX; TEMPER.MIN; TEMPER.MEDIA; EVAPORACAO
1917;JAN;;;295,7;;;;28,1;18,3;23,2;
1918;JAN;;;291;;;;29,4;18,6;24;
1919;JAN;;;262,8;;;;29,2;17,9;23,5;
1920;JAN;;;209,9;;;;30,8;18,6;24,7;
1921;JAN;;8,6;265,7;;;;28,3;19,7;24;
1922;JAN;;8,7;387,2;;;;28,6;19,9;24,2;
1923;JAN;;9,8;219,7;;;;28,8;18,9;23,8;
1924;JAN;;10,4;108,5;;;;28,3;17,9;23,1;
1925;JAN;;11,7;117,9;;;;30,1;18,4;24,3;
1926;JAN;;4,3;237;;;;28,8;19,9;24,3;
1927;JAN;;5,6;200,6;;;;29,1;19,2;24,2;
1928;JAN;;7,4;195,5;;;;30,5;18,2;24,4;
1929;JAN;;2,6;490,9;;;;28;20,1;24;
1930;JAN;;5,7;257;;;;29,9;19;24,5;
1931;JAN;;6,4;324,2;;;;30,6;19,9;25,3;
1932;JAN;;4,8;204,2;;;;28;18;23;
1933;JAN;;4,7;119,6;;;;30;18,8;24,4;
1934;JAN;;4,2;220;;;;29,2;19,1;24,1;
1935;JAN;;6,5;91,2;;;;29,6;19,1;24,3;
1936;JAN;;7,7;84,8;;;;31,4;19,1;25,3;
1937;JAN;;4,7;139;;;;28,1;18,6;23,4;
1938;JAN;;6;158,3;;;;31,2;20,2;25,7;
1939;JAN;;5,5;275;;;;29,1;18,5;23,8;
1940;JAN;;6,4;220,8;;;;30,5;19,7;25,1;
1941;JAN;;10,2;215,1;;;;30,9;19,6;25,3;
1942;JAN;;7;136,6;;;;31,2;19,1;25,2;
1943;JAN;;4,9;325,6;74;;5,8;28,5;17,9;23,2;2,23
1944;JAN;;8,4;118,7;70;;6,7;31,3;18,6;24,9;3,06
1945;JAN;;5,8;322;74;;7,9;29,6;18,9;24,2;2,8
1946;JAN;;4,5;202,9;77;;9;29,4;19;24,2;2,21
1947;JAN;;4,8;352,7;80;;6,7;28,2;19,2;23,7;2,25
1948;JAN;;5,3;313,5;74;;6,1;30,2;19,1;24,7;3,51
1949;JAN;;6,9;210,8;68;;7,3;29,5;18,4;23,9;3,85
1950;JAN;;3,9;231;79;;4,2;28,2;19,1;23,7;2,17
1951;JAN;;4,7;284,7;81;;5,5;28,3;18,2;23,2;2,1
1952;JAN;;6,4;207;72;;5,1;30,3;18,7;24,5;3,22
1953;JAN;;6,2;251,6;69;;5,9;30,3;18,9;24,6;3,44
1954;JAN;;6;189,4;73;;5,4;31,6;18,8;25,2;2,65
1955;JAN;;5,5;272,8;75;;5,6;30,5;18,1;24,3;2,87
1956;JAN;;9,6;60,8;63;;6,5;33;19,7;26,4;4,97
1957;JAN;;6,7;313,6;76;;6,3;29,3;18,1;23,7;3,59
1958;JAN;;7,2;295,6;72;;8;30,4;18,9;24,6;3,96
1959;JAN;;6,5;258,4;75;;7,4;30;19,4;24,7;3,49
1960;JAN;;7,2;371,9;76;;6,9;29,8;17,9;23,8;3,81
1961;JAN;;5,9;135,5;76;;8,6;29,6;19,3;24,5;3,52
1962;JAN;;6,9;132,3;75;;5,9;29,4;18;23,7;3,74
1963;JAN;;3,3;308,4;81;;3,1;29,8;19,7;24,8;2,83
1964;JAN;;7,6;69,4;69;;7,9;31,2;18,3;24,7;4,66
1965;JAN;;4,8;326,6;76;;8,5;27,5;17,9;22,7;2,53
1966;JAN;;5,9;252,1;76;;11;30,2;19,3;24,8;3,37
1967;JAN;;6,3;272,2;79;;9,3;29,5;18,7;24,1;3,21
1968;JAN;;6,1;322,5;75;;7,5;29,7;18;23,8;3,22
1969;JAN;;7,9;126,1;73;;12,1;32,1;18,8;25,5;4,55
1970;JAN;;6,7;263,8;80;;11,7;29,4;18;23,7;3,12
1971;JAN;;8,3;180,6;68;;13,2;31,7;18,7;25,2;4,14
1972;JAN;;7,1;255,1;71;;;28,9;18,9;23,9;
1973;JAN;;;121,1;;;;;;;
1974;JAN;;;147,1;;;;;;;
1975;JAN;;5,8;168,1;76;;;29,4;18,5;23,9;
1976;JAN;;5,4;295,2;80;;;30,3;18,2;24,3;
1977;JAN;;4,3;322,7;84;;8,9;29,5;20,1;24,8;
1978;JAN;494;7,3;112,6;76;;7,9;31,2;18,3;24,8;
1979;JAN;462;6,4;122,4;75;;11,7;28,6;15,8;22,2;
1980;JAN;379;7,5;147,6;80;10,3;10,5;29,7;18,2;22,2;
1981;JAN;364;5,1;290,1;;8,9;7,5;28;18,6;22,3;6,18
1982;JAN;536;5;260;80;9,1;9;28,8;17,6;23,2;6,89
1983;JAN;514;4,9;207,5;81;10,4;9,2;29,5;19,6;24,5;6,6
1984;JAN;605;7,7;91,5;75;11,4;8,4;32,2;19,6;25,9;10,33
1985;JAN;486;5,5;131,8;82;10,7;10,5;29,2;18,6;23,9;6,3
1986;JAN;590;6,8;143;71;9,5;8,9;32,5;19,2;25,9;6,53
1987;JAN;416;6,6;342,9;79;10,7;8,3;30,8;19,7;25,3;6,3
1988;JAN;436;7,6;185,3;73;11,4;8,4;32,4;20;26,2;6,99
1989;JAN;386;5,5;370,8;70;10,6;9,2;29,8;19;24,4;5,37
1990;JAN;423;6,8;271,4;68;9,7;7,8;31,6;19,7;25,6;6,44
1991;JAN;422;6,6;266,6;77;10,2;9,4;30,5;18,8;24,7;6,28
1992;JAN;408;6,5;99,2;79;9,4;9;30,5;19;24,7;5,64
1993;JAN;408;5,7;179,9;82;9;7,2;31;19,7;25,3;5,77
1994;JAN;402;5,6;134,8;84;7,7;8,2;30,3;19,3;24,8;5,6
1995;JAN;429;6,3;197,3;84;9,3;6,9;31,9;20,6;26,2;5,75
1996;JAN;439;6,6;314,8;81;8,4;6,8;31,2;20,3;25,7;6,02
1997;JAN;361;4,2;352,2;87;8,8;6,8;29,7;20,1;24,9;4,86
1998;JAN;458;6,5;121,2;79;9,1;6,5;31,7;20,6;26,2;6,11
1999;JAN;383;4,9;382,8;88;8,7;5,4;30,6;20,4;25,5;6,04
2000;JAN;464;6,4;235,9;83;8,6;7,8;30,2;19,1;24,7;5,53
2001;JAN;509;7,4;229,6;75;9,1;6,9;31,9;19,6;25,8;6,28
2002;JAN;410;4,8;320,2;90;9,7;6,7;29,8;19,3;24,6;5,38
2003;JAN;362;4,2;302,4;92;7,8;6,6;29,6;20,2;24,9;5,39
2004;JAN;371;4,4;196,4;83;8,5;8,5;29,2;18,7;23,1;4,95
2005;JAN;363;3,6;238,7;92;7,9;7,1;29;20,1;24,6;3,52
2006;JAN;452;6,2;240,5;83;7,2;6,1;31,4;19,6;25,5;5,56
